PU_Borough,PU_Zone,pickup_hour,trip_count,avg_fare,avg_distance,avg_duration_min
Manhattan,Flatiron,22,14242,15.27,2.27,14.34
Manhattan,Yorkville West,8,14228,14.16,2.28,12.23
Manhattan,Times Sq/Theatre District,0,14222,15.62,2.61,13.04
Manhattan,Flatiron,15,14133,15.68,2.04,16.49
Manhattan,Lenox Hill East,20,14088,13.84,2.27,11.73
Manhattan,Greenwich Village North,16,14084,14.75,1.82,15.25
Manhattan,Yorkville East,16,14062,14.12,2.04,13.47
Manhattan,Yorkville East,13,14051,14.31,2.14,12.64
Manhattan,Garment District,15,14022,18.72,2.49,19.39
Manhattan,Flatiron,14,13923,15.87,2.16,16.85
Manhattan,West Village,15,13904,15.27,1.93,15.66
Manhattan,Greenwich Village South,19,13869,14.74,2.0,14.45
Manhattan,Yorkville East,7,13845,14.52,2.57,11.18
Manhattan,Union Sq,9,13839,13.28,1.71,12.59
Manhattan,Greenwich Village North,15,13815,15.15,1.91,15.63
Manhattan,TriBeCa/Civic Center,16,13703,21.55,3.67,23.56
Manhattan,Penn Station/Madison Sq West,0,13685,16.94,2.84,14.39
Manhattan,West Village,16,13669,15.06,1.88,15.47
Manhattan,Clinton East,8,13632,14.91,2.23,13.28
Manhattan,Flatiron,13,13597,15.82,2.08,16.41
Manhattan,Yorkville East,14,13566,14.33,2.13,12.96
Manhattan,UN/Turtle Bay South,18,13540,15.7,2.18,15.29
Manhattan,Lenox Hill East,7,13430,14.51,2.39,12.15
Manhattan,Garment District,21,13398,16.25,2.34,15.24
Manhattan,Central Park,19,13348,13.84,1.92,12.88
Manhattan,Garment District,20,13290,15.96,2.25,15.18
Manhattan,TriBeCa/Civic Center,20,13252,17.64,3.08,15.39
Manhattan,Garment District,14,13248,19.2,2.63,19.52
Manhattan,Flatiron,12,13246,15.53,1.99,15.98
Manhattan,Yorkville West,22,13182,13.22,2.17,10.94
Manhattan,West Village,14,13143,15.01,1.9,15.28
